home_team,home_goals_sum,away_team,away_goals_sum
Aston Villa,1.7628457521416303,Everton,1.920612403090309
Blackburn,4.868668964900842,Fulham,2.2204285173946587
Chelsea,3.268780064053054,Sunderland,3.819921351647339
Liverpool,2.702617529875848,Stoke,1.862290934863931
Man United,7.436614012918608,Bolton,2.209345203561454
Tottenham,3.463632697785654,Wolves,2.361203860911173
West Brom,1.5897681544765625,Norwich,4.575720932083652
Newcastle,3.90686760368377,QPR,0.8609416523129034
Swansea,4.6853733097953665,Arsenal,4.404098307254092
Wigan,1.1533847781193824,Man City,2.136622484619133
Bolton,4.302074729289781,Liverpool,1.7838751151231929
Everton,2.4388751680229905,Blackburn,4.007913030518054
Fulham,7.155453564800124,Newcastle,4.240779702048938
Norwich,2.135129445550578,Chelsea,2.483682318155687
QPR,4.7400949132188455,Wigan,3.030392843707985
Stoke,3.3691039573192394,West Brom,3.863049774165492
Sunderland,3.8003461600910917,Swansea,1.6318190449452727
Wolves,4.2255926787050875,Aston Villa,5.436157451558025
Arsenal,2.8549424252934887,Man United,4.670398775382882
Man City,7.43635266903682,Tottenham,4.4364987222198
Everton,2.4792525646177443,Man City,1.2959270451528886
Man United,6.510534403283738,Stoke,1.1295365492998768
Swansea,3.8418225645901485,Chelsea,2.5064294749475717
Tottenham,5.100799425190181,Wigan,2.8380261706826473
Wolves,2.5629515150918705,Liverpool,4.08197495042062
Aston Villa,3.0692199970180765,QPR,2.52218750835143
Blackburn,2.952996999203732,Newcastle,4.572162910379687
Bolton,2.6093402236891796,Arsenal,2.6712206517381163
Fulham,5.340001971201334,West Brom,3.3430581280273355
Sunderland,5.305026463616423,Norwich,2.775315035597603
Arsenal,8.731610112654845,Blackburn,3.4309221344709755
Man City,7.510375890206705,Fulham,1.346757973500127
Norwich,3.295021471181661,Bolton,1.340035603849071
QPR,3.875012894815124,Wolves,3.432142535474471
Stoke,2.0434648458732823,Sunderland,3.316899417465035
West Brom,1.9642431275248051,Swansea,2.989748281862296
Wigan,1.6995632303752584,Everton,2.1649103078986314
Chelsea,4.982615328705603,Man United,5.8327400503540545
Newcastle,4.369634985072232,Aston Villa,4.297196165395237
Liverpool,1.639220393346526,Tottenham,2.69087249680223
Blackburn,4.791083218056467,QPR,3.5297840533593563
Bolton,2.5826448472889085,Wigan,3.721349885585865
Everton,3.503742693611839,Chelsea,1.52022632296314
Fulham,5.238874918459508,Stoke,1.6850985484163856
Man United,5.948838726705482,Liverpool,3.475842959609063
Sunderland,4.217661200770248,Arsenal,3.6201772241367305
Swansea,4.330183174599744,Norwich,4.683313659451405
Tottenham,8.093791240422423,Newcastle,2.7731569863462253
Aston Villa,1.8615760295945807,Man City,1.7860194856360252
Wolves,2.5545086732601656,West Brom,7.027667251850101
Chelsea,6.022108962414089,Bolton,0.8127726788409941
Man City,7.555273243376929,Blackburn,2.080959465643357
Newcastle,4.650317590199264,Wolves,4.081699676269121
QPR,2.3503141274871786,Fulham,1.8168500021402814
West Brom,5.191373679973626,Sunderland,2.011801191875517
Wigan,1.0308372073428398,Aston Villa,2.6063812251117713
Arsenal,10.295989241982046,Tottenham,3.6320966706880378
Norwich,2.998531546683105,Man United,5.537735670673543
Stoke,3.2394240810670967,Swansea,1.8133739977726506
Blackburn,3.9059388649859152,Aston Villa,2.5808501239296646
Liverpool,1.9942374265908707,Arsenal,4.195748480032301
Man City,6.5825048646146165,Bolton,0.4929715490938325
QPR,2.425537578276721,Everton,2.313084477268437
Stoke,2.9648100249786173,Norwich,2.8405733235082478
West Brom,4.148727302929204,Chelsea,0.9220638745793442
Wigan,0.6252343714259813,Swansea,3.099866927174781
Fulham,8.177538260445214,Wolves,2.4756759973963525
Newcastle,3.820560195856823,Sunderland,2.2202191041189194
Tottenham,5.909132540629746,Man United,6.358806469647806
Aston Villa,2.129102937335226,Fulham,1.1019752303970443
Bolton,3.566453283029575,QPR,3.1409222505271837
Chelsea,4.65259372183438,Stoke,1.0220639342517914
Everton,3.125127367419708,Tottenham,2.202977989812475
Sunderland,3.5581408305475564,Liverpool,2.108205323349197
Wolves,1.5493878308341322,Blackburn,3.2621657175319143
Man United,5.608153077432738,West Brom,4.2624956545055115
Norwich,2.8187013171788466,Wigan,3.2571128011259276
Swansea,3.6263888575665284,Man City,1.0832755768824365
Arsenal,8.244833147333548,Newcastle,2.6820047364152746
Liverpool,4.209566141973785,Everton,1.402956653968677
Fulham,4.9599276759331365,Swansea,4.880164332360693
Wigan,1.3792238157760142,West Brom,3.585334301349461
Newcastle,3.317286896064867,Norwich,1.7228948118695653
Wolves,0.9397512231865522,Man United,8.856811083020446
Blackburn,4.369071676577121,Sunderland,1.3466309579278402
Everton,1.895485563847081,Arsenal,3.5448500935822707
Man City,5.992491018096322,Chelsea,1.5592600101457965
QPR,4.471162907509963,Liverpool,3.278691165580674
Tottenham,4.5840700581975495,Stoke,1.6199131123102286
Arsenal,8.000744088072803,Aston Villa,1.5653647282864913
Bolton,4.163163262590215,Blackburn,2.978603524746568
Chelsea,2.821940739479063,Tottenham,1.3361736934933715
Liverpool,3.5532309291953252,Wigan,3.975538776025372
Norwich,3.7096287694413546,Wolves,2.5015733959355417
Stoke,2.79824818037291,Man City,1.6570398502970878
Sunderland,5.158121505302467,QPR,2.9050656447183423
Swansea,2.1995160261543694,Everton,2.8509362248798507
West Brom,3.516330308013465,Newcastle,4.626718102130364
Man United,4.401516785824715,Fulham,0.6683817634797005
Aston Villa,3.2913662091780402,Chelsea,4.945739002617257
Everton,3.149670109515943,West Brom,2.174615179087822
Fulham,5.008348205410674,Norwich,2.044988526858721
Man City,6.6346295305279925,Sunderland,3.8167729633014282
QPR,4.711897387974673,Arsenal,3.150060265842845
Wigan,2.836541530874001,Stoke,0.9825269686866682
Wolves,2.5699879293650936,Bolton,3.2990023588914412
